Id,ActivityHour,StepTotal
1503960366,2016-03-12 00:00:00.000000 UTC,0
1503960366,2016-03-12 01:00:00.000000 UTC,0
1503960366,2016-03-12 02:00:00.000000 UTC,0
1503960366,2016-03-12 03:00:00.000000 UTC,0
1503960366,2016-03-12 04:00:00.000000 UTC,0
1503960366,2016-03-12 05:00:00.000000 UTC,0
1503960366,2016-03-12 06:00:00.000000 UTC,0
1503960366,2016-03-12 07:00:00.000000 UTC,0
1503960366,2016-03-12 08:00:00.000000 UTC,0
1503960366,2016-03-12 09:00:00.000000 UTC,8
1503960366,2016-03-12 10:00:00.000000 UTC,551
1503960366,2016-03-12 11:00:00.000000 UTC,1764
1503960366,2016-03-12 12:00:00.000000 UTC,1259
1503960366,2016-03-12 13:00:00.000000 UTC,253
1503960366,2016-03-12 14:00:00.000000 UTC,4470
1503960366,2016-03-12 15:00:00.000000 UTC,4919
1503960366,2016-03-12 16:00:00.000000 UTC,1905
1503960366,2016-03-12 17:00:00.000000 UTC,1038
1503960366,2016-03-12 18:00:00.000000 UTC,14
1503960366,2016-03-12 19:00:00.000000 UTC,606
1503960366,2016-03-12 20:00:00.000000 UTC,56
1503960366,2016-03-12 21:00:00.000000 UTC,782
1503960366,2016-03-12 22:00:00.000000 UTC,1132
1503960366,2016-03-12 23:00:00.000000 UTC,918
1503960366,2016-03-13 00:00:00.000000 UTC,39
1503960366,2016-03-13 01:00:00.000000 UTC,0
1503960366,2016-03-13 02:00:00.000000 UTC,27
1503960366,2016-03-13 03:00:00.000000 UTC,0
1503960366,2016-03-13 04:00:00.000000 UTC,0
1503960366,2016-03-13 05:00:00.000000 UTC,0
1503960366,2016-03-13 06:00:00.000000 UTC,0
1503960366,2016-03-13 07:00:00.000000 UTC,0
1503960366,2016-03-13 08:00:00.000000 UTC,6
1503960366,2016-03-13 09:00:00.000000 UTC,73
1503960366,2016-03-13 10:00:00.000000 UTC,2850
1503960366,2016-03-13 11:00:00.000000 UTC,4854
1503960366,2016-03-13 12:00:00.000000 UTC,24
1503960366,2016-03-13 13:00:00.000000 UTC,118
1503960366,2016-03-13 14:00:00.000000 UTC,19
1503960366,2016-03-13 15:00:00.000000 UTC,510
1503960366,2016-03-13 16:00:00.000000 UTC,510
1503960366,2016-03-13 17:00:00.000000 UTC,96
1503960366,2016-03-13 18:00:00.000000 UTC,4100
1503960366,2016-03-13 19:00:00.000000 UTC,1756
1503960366,2016-03-13 20:00:00.000000 UTC,477
