Id,ActivityHour,Calories
1503960366,2016-03-22 00:00:00.000000 UTC,47
1503960366,2016-03-22 01:00:00.000000 UTC,47
1503960366,2016-03-22 02:00:00.000000 UTC,47
1503960366,2016-03-22 03:00:00.000000 UTC,47
1503960366,2016-03-22 04:00:00.000000 UTC,47
1503960366,2016-03-22 05:00:00.000000 UTC,47
1503960366,2016-03-22 06:00:00.000000 UTC,47
1503960366,2016-03-22 07:00:00.000000 UTC,47
1503960366,2016-03-23 03:00:00.000000 UTC,47
1503960366,2016-03-23 04:00:00.000000 UTC,47
1503960366,2016-03-24 04:00:00.000000 UTC,47
1503960366,2016-03-26 02:00:00.000000 UTC,47
1503960366,2016-03-27 02:00:00.000000 UTC,47
1503960366,2016-03-27 04:00:00.000000 UTC,47
1503960366,2016-03-28 02:00:00.000000 UTC,47
1503960366,2016-03-28 03:00:00.000000 UTC,47
1503960366,2016-03-28 04:00:00.000000 UTC,47
1503960366,2016-03-28 05:00:00.000000 UTC,47
1503960366,2016-03-28 06:00:00.000000 UTC,47
1503960366,2016-03-28 07:00:00.000000 UTC,47
1503960366,2016-03-29 04:00:00.000000 UTC,47
1503960366,2016-03-29 22:00:00.000000 UTC,47
1503960366,2016-03-30 00:00:00.000000 UTC,47
1503960366,2016-03-30 01:00:00.000000 UTC,47
1503960366,2016-03-30 02:00:00.000000 UTC,47
1503960366,2016-03-30 03:00:00.000000 UTC,47
1503960366,2016-03-30 04:00:00.000000 UTC,47
1503960366,2016-03-30 05:00:00.000000 UTC,47
1503960366,2016-03-30 06:00:00.000000 UTC,47
1503960366,2016-03-30 07:00:00.000000 UTC,47
1503960366,2016-03-31 01:00:00.000000 UTC,47
1503960366,2016-03-31 06:00:00.000000 UTC,47
1503960366,2016-04-01 04:00:00.000000 UTC,47
1503960366,2016-04-01 05:00:00.000000 UTC,47
1503960366,2016-04-01 06:00:00.000000 UTC,47
1503960366,2016-04-02 01:00:00.000000 UTC,47
1503960366,2016-04-04 04:00:00.000000 UTC,47
1503960366,2016-04-05 04:00:00.000000 UTC,47
1503960366,2016-04-06 03:00:00.000000 UTC,47
1503960366,2016-04-06 04:00:00.000000 UTC,47
1503960366,2016-04-06 05:00:00.000000 UTC,47
1503960366,2016-04-06 06:00:00.000000 UTC,47
1503960366,2016-04-06 07:00:00.000000 UTC,47
1503960366,2016-04-07 02:00:00.000000 UTC,47
1503960366,2016-04-07 03:00:00.000000 UTC,47
1503960366,2016-04-07 04:00:00.000000 UTC,47
1503960366,2016-04-07 05:00:00.000000 UTC,47
1503960366,2016-04-07 06:00:00.000000 UTC,47
1503960366,2016-04-07 07:00:00.000000 UTC,47
1503960366,2016-04-07 08:00:00.000000 UTC,47
1503960366,2016-04-08 03:00:00.000000 UTC,47
1503960366,2016-04-08 04:00:00.000000 UTC,47
1503960366,2016-04-08 05:00:00.000000 UTC,47
1503960366,2016-04-08 06:00:00.000000 UTC,47
1503960366,2016-04-08 07:00:00.000000 UTC,47
1503960366,2016-04-08 08:00:00.000000 UTC,47
1503960366,2016-04-09 04:00:00.000000 UTC,47
1503960366,2016-04-09 05:00:00.000000 UTC,47
1503960366,2016-04-10 04:00:00.000000 UTC,47
1503960366,2016-04-10 05:00:00.000000 UTC,47
1503960366,2016-04-11 01:00:00.000000 UTC,47
1503960366,2016-04-11 03:00:00.000000 UTC,47
1503960366,2016-04-11 04:00:00.000000 UTC,47
1503960366,2016-04-11 05:00:00.000000 UTC,47
1503960366,2016-03-12 00:00:00.000000 UTC,48
1503960366,2016-03-12 01:00:00.000000 UTC,48
1503960366,2016-03-12 02:00:00.000000 UTC,48
1503960366,2016-03-12 03:00:00.000000 UTC,48
1503960366,2016-03-12 04:00:00.000000 UTC,48
1503960366,2016-03-12 05:00:00.000000 UTC,48
1503960366,2016-03-12 06:00:00.000000 UTC,48
1503960366,2016-03-12 07:00:00.000000 UTC,48
1503960366,2016-03-12 08:00:00.000000 UTC,48
1503960366,2016-03-13 01:00:00.000000 UTC,48
1503960366,2016-03-13 03:00:00.000000 UTC,48
1503960366,2016-03-13 04:00:00.000000 UTC,48
1503960366,2016-03-13 05:00:00.000000 UTC,48
1503960366,2016-03-13 06:00:00.000000 UTC,48
1503960366,2016-03-14 03:00:00.000000 UTC,48
1503960366,2016-03-14 04:00:00.000000 UTC,48
1503960366,2016-03-14 06:00:00.000000 UTC,48
1503960366,2016-03-14 22:00:00.000000 UTC,48
1503960366,2016-03-15 03:00:00.000000 UTC,48
1503960366,2016-03-15 05:00:00.000000 UTC,48
1503960366,2016-03-16 00:00:00.000000 UTC,48
1503960366,2016-03-16 01:00:00.000000 UTC,48
1503960366,2016-03-16 03:00:00.000000 UTC,48
1503960366,2016-03-16 04:00:00.000000 UTC,48
1503960366,2016-03-16 06:00:00.000000 UTC,48
1503960366,2016-03-17 03:00:00.000000 UTC,48
1503960366,2016-03-17 04:00:00.000000 UTC,48
1503960366,2016-03-17 05:00:00.000000 UTC,48
1503960366,2016-03-18 02:00:00.000000 UTC,48
1503960366,2016-03-18 03:00:00.000000 UTC,48
1503960366,2016-03-18 04:00:00.000000 UTC,48
1503960366,2016-03-19 01:00:00.000000 UTC,48
1503960366,2016-03-19 02:00:00.000000 UTC,48
1503960366,2016-03-19 04:00:00.000000 UTC,48
1503960366,2016-03-19 05:00:00.000000 UTC,48
1503960366,2016-03-20 02:00:00.000000 UTC,48
1503960366,2016-03-20 03:00:00.000000 UTC,48
1503960366,2016-03-20 04:00:00.000000 UTC,48
1503960366,2016-03-20 05:00:00.000000 UTC,48
1503960366,2016-03-20 06:00:00.000000 UTC,48
1503960366,2016-03-20 07:00:00.000000 UTC,48
1503960366,2016-03-20 08:00:00.000000 UTC,48
1503960366,2016-03-21 01:00:00.000000 UTC,48
1503960366,2016-03-21 02:00:00.000000 UTC,48
1503960366,2016-03-21 04:00:00.000000 UTC,48
1503960366,2016-03-21 05:00:00.000000 UTC,48
1503960366,2016-03-21 06:00:00.000000 UTC,48
1503960366,2016-03-23 05:00:00.000000 UTC,48
1503960366,2016-03-23 06:00:00.000000 UTC,48
1503960366,2016-03-24 01:00:00.000000 UTC,48
1503960366,2016-03-24 06:00:00.000000 UTC,48
1503960366,2016-03-25 04:00:00.000000 UTC,48
1503960366,2016-03-25 05:00:00.000000 UTC,48
1503960366,2016-03-25 06:00:00.000000 UTC,48
1503960366,2016-03-26 04:00:00.000000 UTC,48
1503960366,2016-03-26 05:00:00.000000 UTC,48
